language,glottocode,family,prop,n_kintypes
South Slavey,sout2959,NA,0.5,44
Ganggalida,gang1267,NA,0.5476190476190477,42
Huli,huli1244,Nuclear Trans New Guinea,0.2708333333333333,48
Manggarai,mang1405,Austronesian,0.3125,32
Owa,owaa1237,Austronesian,0.40625,32
Yelmek,yelm1242,NA,0.28125,32
Northern Yukian,yuki1243,NA,0.75,28
Warta Thuntai,gunt1241,NA,0.5,8
Estonian,esto1258,Uralic,1,12
Karruwali,karr1236,Pama-Nyungan,1,4
Nyangumarta,nyan1301,Pama-Nyungan,0.425,40
Emae,emae1237,Austronesian,0.6,10
Wambayan,wamb1258,NA,0.4772727272727273,44
Puyuma,puyu1239,Austronesian,0.5,10
Meriam,meri1244,NA,0.22916666666666663,48
Yir-Yoront,yiry1245,Pama-Nyungan,0.4838709677419355,31
Ekonda Mongo,ekon1238,Atlantic-Congo,0.32608695652173914,46
Ingush,ingu1240,Nakh-Daghestanian,0.3958333333333333,48
Kadar,kada1242,Dravidian,0.8,20
Oto,otoo1241,NA,0.5,32
Middle High German,midd1343,Indo-European,0.4047619047619048,42
Buhid,buhi1245,Austronesian,0.25,48
Pohnpeian,pohn1238,Austronesian,0.3611111111111111,36
Lavatbura-Lamusong,lava1239,Austronesian,0.5555555555555556,18
Gela,gela1263,Austronesian,0.25,32
Budukh,budu1248,Nakh-Daghestanian,0.3333333333333333,48
Elamite,elam1244,NA,0.3076923076923077,26
Old Norse,oldn1244,Indo-European,0.55,40
Central Aymara,cent2142,NA,0.375,32
Slaveyic,hare1243,NA,0.5,32
Ngalkbun,ngal1292,NA,0.46875,32
Paiwan,paiw1248,Austronesian,0.10416666666666669,48
Old-Middle Welsh,oldw1239,Indo-European,0.6470588235294118,17
Nhanda,nhan1238,Pama-Nyungan,0.3947368421052632,38
Dampelas,damp1237,Austronesian,0.25,48
Huron-Wyandot,wyan1247,NA,0.53125,32
Prakaa,prak1243,Sino-Tibetan,0.8181818181818182,11
Cinta Larga,cint1239,Tupian,0.2826086956521739,46
Lamaholot,lama1277,Austronesian,0.5833333333333334,12
Tetum,tetu1245,Austronesian,0.6538461538461539,26
Hupa-Chilula,hupa1239,NA,0.6666666666666666,30
Ngiyambaa,wang1291,Pama-Nyungan,0.4166666666666667,36
Luburua,lubu1242,Austronesian,0.4705882352941176,17
Takuu,taku1257,Austronesian,0.2391304347826087,46
Pawnee,pawn1254,NA,0.375,32
Wathawurrung,wath1238,Pama-Nyungan,0.625,16
Nen,nenn1238,NA,0.375,32
Yami,yami1254,Austronesian,0.30303030303030304,33
Avá-Canoeiro,avac1239,Tupian,1,5
Namakura,nama1268,Austronesian,0.2916666666666667,48
Piegan,pieg1239,Algic,0.59375,32
Itonama,iton1250,NA,0.325,40
Ida'an,idaa1241,Austronesian,0.20833333333333337,48
Erave,erav1244,Nuclear Trans New Guinea,0.40625,32
Warrongo,waru1264,Pama-Nyungan,0.4375,32
Bannoni,bann1247,Austronesian,0.16666666666666666,48
Yucatec Maya,yuca1254,NA,0.48484848484848486,33
Dondo,dond1249,Austronesian,0.2916666666666667,48
Warrnambool,warr1257,Pama-Nyungan,0.5625,32
Binja,binj1250,Atlantic-Congo,0.5,4
Iau,iauu1242,Lakes Plain,0.1875,48
Tetela,tete1250,Atlantic-Congo,0.3333333333333333,36
Bemba (Zambia),bemb1257,Atlantic-Congo,0.4705882352941176,34
Binongan Itneg,bino1237,Austronesian,0.28125,32
Alangan,alan1249,Austronesian,0.22916666666666663,48
Unua,unua1237,Austronesian,0.34210526315789475,38
Danish,dani1285,Indo-European,0.3958333333333333,48
Tigak,tiga1245,Austronesian,0.625,8
Forest Enets,fore1265,Uralic,0.75,16
Marwari (India),marw1260,Indo-European,0.6585365853658537,41
Sirionó,siri1273,Tupian,0.2391304347826087,46
Yau (Morobe Province),yaum1237,Nuclear Trans New Guinea,0.375,32
O'du,oduu1239,Austroasiatic,0.2608695652173913,46
Southwest Tanna,sout2869,Austronesian,0.3055555555555556,36
Kodeoha,kode1237,Austronesian,0.375,24
Minangkabau,mina1268,Austronesian,0.4,25
Kunza,kunz1244,NA,0.5294117647058824,17
Sosva Mansi,nort2677,Uralic,0.8947368421052632,19
Udmurt,udmu1245,Uralic,1,24
Mokpwe,mokp1239,Atlantic-Congo,0.3333333333333333,48
Farafi,butm1237,Austronesian,0.40625,32
Kamang,kama1365,NA,0.325,40
Miami,miam1252,Algic,0.4375,32
Sonsorol,sons1242,Austronesian,0.4375,32
Suundi,suun1239,Atlantic-Congo,0.4230769230769231,26
Watam,wata1253,Lower Sepik-Ramu,0.375,32
Wiwirano,wiwi1237,Austronesian,0.3333333333333333,24
Nyoro,nyor1246,Atlantic-Congo,0.375,48
Urdu,urdu1245,Indo-European,0.6875,48
Bau-Jagoi Bidayuh,baub1235,Austronesian,0.5,12
Vera'a,vera1241,Austronesian,0.34375,32
Tetun Dili,tetu1246,Austronesian,0.5,32
Vao,vaoo1237,Austronesian,0.28125,32
