Name,Glottocode,Value,Subsistence_Type
Banda,west2458,Extensive agriculture,Agriculture
Otoro,otor1240,Intensive agriculture,Agriculture
Mangbetu,nucl1420,Extensive agriculture,Agriculture
Fali,sout2782,Extensive agriculture,Agriculture
Laka,laka1254,Extensive agriculture,Agriculture
Mbum,mbum1254,Extensive agriculture,Agriculture
Mundang,mund1325,Extensive agriculture,Agriculture
Namshi,doya1240,Extensive agriculture,Agriculture
Gisiga,sout3051,Extensive agriculture,Agriculture
Kotoko,lagw1237,Intensive agriculture,Agriculture
Musgu,musg1254,Intensive agriculture,Agriculture
Nyaro,kooo1244,"Agriculture, type unknown",Agriculture
Tupuri,tupu1244,Extensive agriculture,Agriculture
Bagirmi,bagi1246,Extensive agriculture,Agriculture
Sara,sarr1246,Extensive agriculture,Agriculture
Bwaka,ngba1284,Extensive agriculture,Agriculture
Mandja,manz1243,Extensive agriculture,Agriculture
Mbandja,mban1263,Extensive agriculture,Agriculture
Ngbandi,nort2774,Extensive agriculture,Agriculture
Abarambo,bara1361,Extensive agriculture,Agriculture
Popoi,popo1291,Extensive agriculture,Agriculture
Lendu,lend1245,Extensive agriculture,Agriculture
Azande,zand1248,Extensive agriculture,Agriculture
Lese,lese1243,Extensive agriculture,Agriculture
Logo,logo1259,Extensive agriculture,Agriculture
Lugbara,lugb1240,Extensive agriculture,Agriculture
Madi,madi1260,Extensive agriculture,Agriculture
Moru,moru1253,Extensive agriculture,Agriculture
Bongo,bong1285,Extensive agriculture,Agriculture
Jur,luwo1239,Extensive agriculture,Agriculture
Koalib,koal1240,Intensive agriculture,Agriculture
Korongo,kron1241,Extensive agriculture,Agriculture
Mesakin,ngil1242,Extensive agriculture,Agriculture
Ingassana,gaam1241,Intensive agriculture,Agriculture
Moro,moro1285,Intensive agriculture,Agriculture
Tira,tira1254,Intensive agriculture,Agriculture
Tullishi,tuli1249,Extensive agriculture,Agriculture
Nyimang,amas1236,Intensive agriculture,Agriculture
Anuak,anua1242,Intensive agriculture,Agriculture
Meban,maba1273,Extensive agriculture,Agriculture
Koma,komo1258,Extensive agriculture,Agriculture
Mao,hozo1236,Extensive agriculture,Agriculture
Mamvu,mamv1243,Extensive agriculture,Agriculture
Shilluk,shil1265,Extensive agriculture,Agriculture
Gbaya,nort2775,Extensive agriculture,Agriculture
Dilling,dill1242,Intensive agriculture,Agriculture
Masa,masa1322,Intensive agriculture,Agriculture
Teso,teso1249,Extensive agriculture,Agriculture
Acholi,dhop1238,Extensive agriculture,Agriculture
Dinka,sout2832,Pastoralism,Hunting and gathering
Lotuko,otuh1238,Extensive agriculture,Agriculture
Pojulu,poju1239,Extensive agriculture,Agriculture
Kakwa,kakw1240,Extensive agriculture,Agriculture
Kuku,kuku1285,Intensive agriculture,Agriculture
Mondari,mand1425,Extensive agriculture,Agriculture
Alur,alur1250,Extensive agriculture,Agriculture
Bodi,meen1242,Pastoralism,Hunting and gathering
Didinga,didi1258,Two or more sources,NA
Maasi,masa1300,Pastoralism,Hunting and gathering
Suri,suri1267,Extensive agriculture,Agriculture
Jie,jiee1239,Extensive agriculture,Agriculture
Labwor,labw1238,Extensive agriculture,Agriculture
Plains Suk,east2420,Pastoralism,Hunting and gathering
Toposa,topo1242,Pastoralism,Hunting and gathering
Keyu,keiy1238,Two or more sources,NA
Hill Suk,west2492,Intensive agriculture,Agriculture
Sapei,kups1238,Two or more sources,NA
Tatoga,dato1239,Pastoralism,Hunting and gathering
Samburu,samb1315,Pastoralism,Hunting and gathering
Nuer,nuer1246,Pastoralism,Hunting and gathering
Karamojong,nucl1430,Pastoralism,Hunting and gathering
Pari,pari1256,"Agriculture, type unknown",Agriculture
Lango,lang1324,Extensive agriculture,Agriculture
Turkana,turk1308,Extensive agriculture,Agriculture
Luo,luok1236,Intensive agriculture,Agriculture
Nandi,nand1266,Two or more sources,NA
Bari,ligo1238,Extensive agriculture,Agriculture
Kipsigis,kips1239,Intensive agriculture,Agriculture
Konso,kons1243,Intensive agriculture,Agriculture
Somali (Esa),nort3051,Pastoralism,Hunting and gathering
Arusi,bora1271,Pastoralism,Hunting and gathering
Gibe,west2721,Intensive agriculture,Agriculture
Macha,west2721,Intensive agriculture,Agriculture
Burji,burj1242,Intensive agriculture,Agriculture
Darasa,gede1246,Intensive agriculture,Agriculture
Sidama,sida1246,Intensive agriculture,Agriculture
Tsamai,tsam1247,Intensive agriculture,Agriculture
Arbore,arbo1245,Extensive agriculture,Agriculture
Banna,hame1242,Pastoralism,Hunting and gathering
Somali (Dolbahanta),nort3051,Pastoralism,Hunting and gathering
Galab,daas1238,Pastoralism,Hunting and gathering
Hamar,hame1242,Pastoralism,Hunting and gathering
Male,male1284,Two or more sources,NA
Bako,aari1239,Intensive agriculture,Agriculture
Dime,dime1235,Intensive agriculture,Agriculture
Shangama,aari1239,Intensive agriculture,Agriculture
Ubamer,aari1239,Intensive agriculture,Agriculture
Anfillo,anfi1235,Extensive agriculture,Agriculture
Basketo,bask1236,Intensive agriculture,Agriculture
Yem,toba1264,Intensive agriculture,Agriculture
Tigrinya,tigr1271,Intensive agriculture,Agriculture
Kafa,kafa1242,Intensive agriculture,Agriculture
Beta Israel,qima1242,Intensive agriculture,Agriculture
Nara,nara1262,Extensive agriculture,Agriculture
Kunama,kuna1268,Extensive agriculture,Agriculture
Ababda,abab1239,Pastoralism,Hunting and gathering
Amarar,amar1281,Pastoralism,Hunting and gathering
Beni-Amer,mans1267,Pastoralism,Hunting and gathering
Blin,bili1260,Pastoralism,Hunting and gathering
Tigre,mans1267,Pastoralism,Hunting and gathering
Jimma,west2721,Intensive agriculture,Agriculture
Iraqw,iraq1241,Two or more sources,NA
Baditu,koor1239,Intensive agriculture,Agriculture
Dorse,dorz1235,Intensive agriculture,Agriculture
Shako,shek1245,Intensive agriculture,Agriculture
Hadendowa,hade1248,Pastoralism,Hunting and gathering
Bisharin,bish1251,Pastoralism,Hunting and gathering
Afar,afar1241,Pastoralism,Hunting and gathering
Amhara,amha1245,Intensive agriculture,Agriculture
Gurage,seba1251,Intensive agriculture,Agriculture
Goroa,goro1270,Two or more sources,NA
Maguzawa,kano1249,"Agriculture, type unknown",Agriculture
Karekare,kare1348,Extensive agriculture,Agriculture
Midobi,mido1240,Pastoralism,Hunting and gathering
Gimma,nort3133,Pastoralism,Hunting and gathering
Habbaniya,nort3133,Pastoralism,Hunting and gathering
Hemat,bath1248,Two or more sources,NA
Messiria Humr,tama1331,Pastoralism,Hunting and gathering
Shuwa,char1283,Pastoralism,Hunting and gathering
Fur,furr1244,Intensive agriculture,Agriculture
Kanembu,kane1243,Intensive agriculture,Agriculture
Kanuri,cent2050,Intensive agriculture,Agriculture
Wolof,nucl1347,Extensive agriculture,Agriculture
Zerma,zarm1239,Intensive agriculture,Agriculture
Djafun,adam1253,Pastoralism,Hunting and gathering
Liptako,west2454,Extensive agriculture,Agriculture
Tukulor,pula1263,Extensive agriculture,Agriculture
Wodaabe Fulani,boro1274,Pastoralism,Hunting and gathering
Tazarawa Hausa,arew1238,Extensive agriculture,Agriculture
Zazzagawa Hausa,haus1257,Intensive agriculture,Agriculture
Bachama,baca1246,Intensive agriculture,Agriculture
Dera,dera1248,Intensive agriculture,Agriculture
Ngizim,ngiz1242,"Agriculture, type unknown",Agriculture
