random_id,condition,block,system,relative1,relative2,relative1_term,relative2_term,distinction
n82s617h3t,mfbg,7,0,b,z,lepego,lepego,0
n82s617h3t,mfbg,2,1,mbs,mbd,gêă,gêă,0
n82s617h3t,mfbg,2,1,mzs,mzd,gêă,gêă,0
n82s617h3t,mfbg,2,1,fbs,fbd,nyumuo,nyumuo,0
n82s617h3t,mfbg,2,1,fzs,fzd,nyumuo,nyumuo,0
n82s617h3t,mfbg,4,2,mbs,mbd,rhåv,rhåv,0
n82s617h3t,mfbg,4,2,mzs,mzd,rhåv,rhåv,0
n82s617h3t,mfbg,4,2,fbs,fbd,tsåvvses,tsåvvses,0
n82s617h3t,mfbg,4,2,fzs,fzd,tsåvvses,tsåvvses,0
n82s617h3t,mfbg,8,3,mbs,mbd,agivud,otev,1
n82s617h3t,mfbg,8,3,mzs,mzd,agivud,otev,1
n82s617h3t,mfbg,8,3,fbs,fbd,awupav,agivud,1
n82s617h3t,mfbg,8,3,fzs,fzd,awupav,agivud,1
n82s617h3t,mfbg,1,4,mbs,mbd,cöahido,cöahido,0
n82s617h3t,mfbg,1,4,mzs,mzd,beiguumu,beiguumu,0
n82s617h3t,mfbg,1,4,fbs,fbd,yaöpe,nuubö,1
n82s617h3t,mfbg,1,4,fzs,fzd,nuubö,nuubö,0
n82s617h3t,mfbg,5,5,mbs,mbd,içiqusem,iqur,1
n82s617h3t,mfbg,5,5,mzs,mzd,içiqusem,iqur,1
n82s617h3t,mfbg,5,5,fbs,fbd,iqur,orinoçim,1
n82s617h3t,mfbg,5,5,fzs,fzd,adeçim,orinoçim,1
n82s617h3t,mfbg,3,6,mbs,mbd,bokokohï,bokokohï,0
n82s617h3t,mfbg,3,6,mzs,mzd,bokokohï,bokokohï,0
